Country,BMI
Afghanistan ,21.6
Albania ,26.1
Algeria ,26.2
Andorra ,27.5
Angola ,24.1
Antigua and Barbuda,28.4
Argentina ,27.7
Armenia ,26.7
Australia ,27.2
Austria ,25.4
Azerbaijan ,27.4
Bahamas,28.8
Bahrain ,28.2
Bangladesh ,21.0
Barbados ,28.7
Belarus ,26.6
Belgium ,25.5
Belize ,28.9
Benin ,23.4
Bhutan ,23.8
Bolivia ,25.9
Bosnia and Herzegovina ,26.1
Botswana ,24.7
Brazil ,25.9
Brunei ,26.2
Bulgaria ,26.0
Burkina Faso ,22.1
Burundi ,20.9
Cambodia ,21.9
Cameroon ,24.4
Canada ,27.2
Cape Verde ,24.7
Central African Republic ,22.4
Chad ,22.3
Chile ,27.8
China ,23.9
Colombia ,25.9
Comoros ,24.1
Congo ,23.3
Costa Rica ,26.9
Croatia ,25.5
Cuba ,26.2
Cyprus ,27.0
Czech Republic ,26.9
DR Congo ,22.2
Denmark ,25.3
Djibouti ,23.3
Dominican Republic ,26.7
Dominica ,27.0
East Timor ,21.2
Ecuador ,27.0
Egypt ,29.2
El Salvador ,27.4
Equatorial Guinea ,25.6
Eritrea ,20.5
Estonia ,25.5
Ethiopia ,20.6
Fiji ,27.2
Finland ,25.9
France ,25.3
Gabon ,25.5
Gambia,24.0
Georgia ,27.2
Germany ,26.3
Ghana ,24.2
Greece ,27.3
Grenada ,27.0
Guatemala ,26.5
Guinea-Bissau ,23.1
Guinea ,22.7
Guyana ,26.3
Haiti ,24.1
Honduras ,26.4
Hungary ,26.3
Iceland ,25.9
India ,21.9
Indonesia ,22.9
Iran ,26.2
Iraq ,28.0
Ireland ,27.5
Israel ,26.3
Italy ,26.0
Ivory Coast ,23.6
Jamaica ,27.4
Japan ,22.6
Jordan ,28.9
Kazakhstan ,27.4
Kenya ,23.0
Kiribati ,29.6
Kosovo ,
Kuwait ,30.0
Kyrgyzstan ,26.2
Laos ,22.6
Latvia ,25.8
Lebanon ,27.8
Lesotho ,24.9
Liberia ,24.0
Libya ,28.4
Liechtenstein ,
Lithuania ,26.6
Luxembourg ,26.5
Madagascar ,21.1
Malawi ,22.8
Malaysia ,25.3
Maldives ,25.1
Mali ,22.8
Malta ,27.2
Marshall Islands ,29.2
Mauritania ,24.8
Mauritius ,25.6
Mexico ,28.1
Micronesia ,29.4
Moldova ,26.7
Monaco ,
Mongolia ,26.0
Montenegro ,26.0
Morocco ,25.6
Mozambique ,22.3
Myanmar ,22.6
Namibia ,24.3
Nauru ,32.5
Nepal ,22.2
Netherlands ,25.4
New Zealand ,27.9
Nicaragua ,26.9
Nigeria ,23.4
Niger ,21.7
North Korea ,21.8
North Macedonia ,25.8
Norway ,26.0
Oman ,26.9
Pakistan ,23.8
Palau,29.4
Panama ,27.1
Papua New Guinea ,25.3
Paraguay ,25.8
Peru ,26.3
Philippines ,23.2
Poland ,26.4
Portugal ,26.2
Qatar ,29.2
Romania ,25.3
Russia ,26.5
Rwanda ,22.0
Saint Kitts and Nevis ,29.7
Saint Lucia ,29.6
Saint Vincent and the Grenadines ,27.3
Samoa ,31.7
San Marino ,
Saudi Arabia ,28.5
Senegal ,23.0
Serbia ,25.8
Seychelles ,26.8
Sierra Leone ,22.8
Singapore ,23.7
Slovakia ,26.5
Slovenia ,26.9
Solomon Islands ,25.5
Somalia ,21.9
South Africa ,27.3
South Korea ,23.9
South Sudan ,25.2
Spain ,26.7
Sri Lanka ,23.0
Sudan ,25.2
Suriname ,27.4
Swaziland ,26.5
Sweden ,25.8
Switzerland ,25.3
Syria ,28.1
São Tomé and Príncipe ,24.8
Taiwan ,
Tajikistan ,25.4
Tanzania ,23.1
Thailand ,24.1
Togo ,23.2
Tonga ,31.9
Trinidad and Tobago ,28.7
Tunisia ,26.8
Turkey ,27.8
Turkmenistan ,26.4
Tuvalu ,29.3
Uganda ,22.0
Ukraine ,26.0
United Arab Emirates ,29.0
United Kingdom ,27.3
United States ,28.8
Uruguay ,26.8
Uzbekistan ,26.1
Vanuatu ,26.2
Vatican City,
Venezuela ,27.2
Vietnam ,21.6
Yemen ,25.8
Zambia ,22.6
Zimbabwe ,23.4
